chityala,chityalababloo@gmail.com,BABLBABL,Male,9898989898,HR,admin
abhi,chityalababloo6@gmail.com,abhiabhi,Male,9898278727,Head,user
abcd,abcd@gmail.com,abcdabcd,Female,9878789889,Technician,user
abcde,abcde@gmail.com,abcdeabcde,Male,9898989898,Associate,user
sonu,sonu@gmail.com,sonusonu,Male,7659998787,Engineer,user
Hanu,han@hotmail.com,hanuhanu,Female,2354657676,CEO,user
abraham,abraham@gmail.com,abuabuabu,Male,4567890987,Designer,user
Haley,haley@gmail.com,haleyhaley,Female,7657674898,worker,user
Isha,Isha@gmail.com,ishaisha,Female,7487847876,Jr Engineer,user
Harsha,harsha@gmail.com,harshaharsha,Male,5498674365,Manager,user
pawan,pawan@gmail.com,pawanpawan,Male,9847874765,Technician,user
Mahesh,mahesh@gmail.com,maheshmahi,Male,8745989845,Analyst,user
suraj,suraj@gmail.com,surajsuraj,Male,7876779898,App Developer,user
ajay,ajay@gmail.com,ajayajay,Male,1234567892,Head,user
Naveen,naveen@gmail.com,naveennav,Male,7867463599,Recruiter,user
Vedanth,ved@gmail.com,vedanthvedanth,Male,8787878787,Designer,user
Jadeja,jad@gmail.com,jadujadu,Male,9867564434,Engineer,user
Mahi,Mahi@gmail.com,mahimahi,Male,8726762762,Team,user
sachin,sachin@gmail.com,sachinsa,Male,7676354546,Lead,user
sehwag,sehwag@gmail.com,sehwagse,Male,8298298298,Lead,user
NTR,ntr@gmail.com,ntrntrntr,Male,8738787873,Head,user
